row #,allNotes,template,octet,appliesTo,noteID-PDF,note-GitHub,myComment
1111,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,64-67,octet,1,(see Notes 1 and 5),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1112,It is recommended to use unsigned direction increments.,GRIB2_Template_3_40_GridDefinitionTemplate_en,64-67,octet,5,(see Notes 1 and 5),
1113,The number of parallels between a pole and the Equator is used to establish the variable (Gaussian) spacing of the parallels; this value must always be given.,GRIB2_Template_3_40_GridDefinitionTemplate_en,68-71,octet,2,(see Note 2),
1114,(see Flag table 3.4),GRIB2_Template_3_40_GridDefinitionTemplate_en,72,octet,n/a,(flags - see Flag table 3.4),
1115,(These octets are only present for quasi-regular grids as described in Note 4),GRIB2_Template_3_40_GridDefinitionTemplate_en,73-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 4),changed to match 1020
1116,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_40_GridDefinitionTemplate_en,73-nn,octet,4,(These octets are only present for quasi-regular grids as described in Note 4),changed to match 1020
1117,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_40_GridDefinitionTemplate_en,n/a,tbd,3,n/a,
1118,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_41_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1119,(These octets are only present for quasi-regular grids as described in Note 4),GRIB2_Template_3_41_GridDefinitionTemplate_en,85-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 4),references note in different template
1120,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_41_GridDefinitionTemplate_en,85-nn,octet,4,(These octets are only present for quasi-regular grids as described in Note 4),was: See Note 4 under grid definition template 3.40.
1121,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_41_GridDefinitionTemplate_en,85-nn,octet,4,(These octets are only present for quasi-regular grids as described in Note 4),was: See Note 4 under grid definition template 3.40.
1122,The number of parallels between a pole and the Equator is used to establish the variable (Gaussian) spacing of the parallels; this value must always be given.,GRIB2_Template_3_41_GridDefinitionTemplate_en,n/a,tbd,2,n/a,
1123,"See Note 2 under grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_41_GridDefinitionTemplate_en,n/a,tbd,3,n/a,references note in different template
1124,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_42_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1125,(These octets are only present for quasi-regular grids as described in Note 4),GRIB2_Template_3_42_GridDefinitionTemplate_en,85-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 4),references note in different template
1126,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_42_GridDefinitionTemplate_en,85-nn,octet,4,(These octets are only present for quasi-regular grids as described in Note 4),was: See Note 4 under grid definition template 3.40.
1127,The number of parallels between a pole and the Equator is used to establish the variable (Gaussian) spacing of the parallels; this value must always be given.,GRIB2_Template_3_42_GridDefinitionTemplate_en,n/a,tbd,2,n/a,
1128,"See Note 2 under grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_42_GridDefinitionTemplate_en,n/a,tbd,3,n/a,references note in different template
1129,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_43_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1130,(These octets are only present for quasi-regular grids as described in Note 5),GRIB2_Template_3_43_GridDefinitionTemplate_en,97-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 5),references note in different template
1131,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_43_GridDefinitionTemplate_en,97-nn,octet,5,(These octets are only present for quasi-regular grids as described in Note 5),was: See Note 4 under grid definition template 3.40.
1132,The number of parallels between a pole and the Equator is used to establish the variable (Gaussian) spacing of the parallels; this value must always be given.,GRIB2_Template_3_43_GridDefinitionTemplate_en,n/a,tbd,2,n/a,
1133,"See Note 2 under grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_43_GridDefinitionTemplate_en,n/a,tbd,3,n/a,references note in different template
1134,"See Note 2 under grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_43_GridDefinitionTemplate_en,n/a,tbd,4,n/a,references note in different template
1135,(see Code table 3.6),GRIB2_Template_3_50_GridDefinitionTemplate_en,27,octet,n/a,(see Code table 3.6),
1136,(see Code table 3.7),GRIB2_Template_3_50_GridDefinitionTemplate_en,28,octet,n/a,(see Code table 3.7),
1137,"The pentagonal representation of resolution is general. Some common truncations are special cases of the pentagonal one: Triangular: M = J = K Rhomboidal: K = J + M Trapezoidal: K = J, K > M",GRIB2_Template_3_50_GridDefinitionTemplate_en,n/a,tbd,no id,n/a,
1138,See the Note under grid definition template 3.50 - spherical harmonic coefficients.,GRIB2_Template_3_51_GridDefinitionTemplate_en,n/a,tbd,1,n/a,
1139,"See Note 2 under grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_51_GridDefinitionTemplate_en,n/a,tbd,2,n/a,references note in different template
1140,See the Note under grid definition template 3.50 - spherical harmonic coefficients.,GRIB2_Template_3_52_GridDefinitionTemplate_en,n/a,tbd,1,n/a,
1141,"See Note 2 under grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_52_GridDefinitionTemplate_en,n/a,tbd,2,n/a,references note in different template
1142,See the Note under grid definition template 3.50 - spherical harmonic coefficients.,GRIB2_Template_3_53_GridDefinitionTemplate_en,n/a,tbd,1,n/a,
1143,"See Note 2 under grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_53_GridDefinitionTemplate_en,n/a,tbd,2,n/a,references note in different template
1144,(see Code table 4.1),GRIB2_Template_4_0_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1145,(see Code table 4.2),GRIB2_Template_4_0_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1146,(see Code table 4.3),GRIB2_Template_4_0_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1147,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_0_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1148,(see Code table 4.4),GRIB2_Template_4_0_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1149,(see Code table 4.5),GRIB2_Template_4_0_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1150,(see Code table 4.5),GRIB2_Template_4_0_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1151,(see Code table 4.1),GRIB2_Template_4_1_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1152,(see Code table 4.2),GRIB2_Template_4_1_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1153,(see Code table 4.3),GRIB2_Template_4_1_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1154,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_1_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1155,(see Code table 4.4),GRIB2_Template_4_1_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1156,(see Code table 4.5),GRIB2_Template_4_1_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1157,(see Code table 4.5),GRIB2_Template_4_1_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1158,(see Code table 4.6),GRIB2_Template_4_1_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.6),
1159,(see Code table 4.1),GRIB2_Template_4_2_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1160,(see Code table 4.2),GRIB2_Template_4_2_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1161,(see Code table 4.3),GRIB2_Template_4_2_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1162,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_2_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1163,(see Code table 4.4),GRIB2_Template_4_2_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1164,(see Code table 4.5),GRIB2_Template_4_2_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1165,(see Code table 4.5),GRIB2_Template_4_2_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1166,(see Code table 4.7),GRIB2_Template_4_2_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1167,(see Code table 4.1),GRIB2_Template_4_3_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1168,(see Code table 4.2),GRIB2_Template_4_3_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1169,(see Code table 4.3),GRIB2_Template_4_3_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1170,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_3_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1171,(see Code table 4.4),GRIB2_Template_4_3_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1172,(see Code table 4.5),GRIB2_Template_4_3_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1173,(see Code table 4.5),GRIB2_Template_4_3_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1174,(see Code table 4.7),GRIB2_Template_4_3_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1175,(see Code table 4.8),GRIB2_Template_4_3_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1176,(see Code table 4.1),GRIB2_Template_4_4_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1177,(see Code table 4.2),GRIB2_Template_4_4_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1178,(see Code table 4.3),GRIB2_Template_4_4_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1179,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_4_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1180,(see Code table 4.4),GRIB2_Template_4_4_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1181,(see Code table 4.5),GRIB2_Template_4_4_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1182,(see Code table 4.5),GRIB2_Template_4_4_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1183,(see Code table 4.7),GRIB2_Template_4_4_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1184,(see Code table 4.8),GRIB2_Template_4_4_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1185,(see Code table 4.1),GRIB2_Template_4_5_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1186,(see Code table 4.2),GRIB2_Template_4_5_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1187,(see Code table 4.3),GRIB2_Template_4_5_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1188,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_5_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1189,(see Code table 4.4),GRIB2_Template_4_5_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1190,(see Code table 4.5),GRIB2_Template_4_5_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1191,(see Code table 4.5),GRIB2_Template_4_5_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1192,(see Code table 4.9),GRIB2_Template_4_5_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.9),
1193,(see Code table 4.1),GRIB2_Template_4_6_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1194,(see Code table 4.2),GRIB2_Template_4_6_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1195,(see Code table 4.3),GRIB2_Template_4_6_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1196,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_6_ProductDefinitionTemplate_en,15-16,octet,no id,(see Note),
1197,(see Code table 4.4),GRIB2_Template_4_6_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1198,(see Code table 4.5),GRIB2_Template_4_6_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1199,(see Code table 4.5),GRIB2_Template_4_6_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1200,(see Code table 4.1),GRIB2_Template_4_7_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1201,(see Code table 4.2),GRIB2_Template_4_7_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1202,(see Code table 4.3),GRIB2_Template_4_7_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1203,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_7_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1204,(see Code table 4.4),GRIB2_Template_4_7_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1205,(see Code table 4.5),GRIB2_Template_4_7_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1206,(see Code table 4.5),GRIB2_Template_4_7_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1207,This template should not be used. Product definition template 4.0 should be used instead.,GRIB2_Template_4_7_ProductDefinitionTemplate_en,n/a,template,2,n/a,
1208,(see Code table 4.1),GRIB2_Template_4_8_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1209,(see Code table 4.2),GRIB2_Template_4_8_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1210,(see Code table 4.3),GRIB2_Template_4_8_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1211,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_8_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1212,(see Code table 4.4),GRIB2_Template_4_8_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1213,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_8_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1214,(see Code table 4.5),GRIB2_Template_4_8_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1215,(see Code table 4.5),GRIB2_Template_4_8_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1216,(see Code table 4.10),GRIB2_Template_4_8_ProductDefinitionTemplate_en,47,octet,n/a,(see Code table 4.10),
1217,(see Code table 4.11),GRIB2_Template_4_8_ProductDefinitionTemplate_en,48,octet,n/a,(see Code table 4.11),
1218,(see Code table 4.4),GRIB2_Template_4_8_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.4),
1219,(see Code table 4.4),GRIB2_Template_4_8_ProductDefinitionTemplate_en,54,octet,n/a,(see Code table 4.4),
1220,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.",GRIB2_Template_4_8_ProductDefinitionTemplate_en,55-58,octet,3,(see Notes 3 and 4),
1221,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 48, 60, 72, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.",GRIB2_Template_4_8_ProductDefinitionTemplate_en,55-58,octet,4,(see Notes 3 and 4),
1222,(see Code table 4.1),GRIB2_Template_4_9_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1223,(see Code table 4.2),GRIB2_Template_4_9_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1224,(see Code table 4.3),GRIB2_Template_4_9_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1225,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_9_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1226,(see Code table 4.4),GRIB2_Template_4_9_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1227,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_9_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1228,(see Code table 4.5),GRIB2_Template_4_9_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1229,(see Code table 4.5),GRIB2_Template_4_9_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1230,(see Code table 4.9),GRIB2_Template_4_9_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.9),
1231,(see Code table 4.10),GRIB2_Template_4_9_ProductDefinitionTemplate_en,60,octet,n/a,(see Code table 4.10),
1232,(see Code table 4.11),GRIB2_Template_4_9_ProductDefinitionTemplate_en,61,octet,n/a,(see Code table 4.11),
1233,(see Code table 4.4),GRIB2_Template_4_9_ProductDefinitionTemplate_en,62,octet,n/a,(see Code table 4.4),
1234,(see Code table 4.4),GRIB2_Template_4_9_ProductDefinitionTemplate_en,67,octet,n/a,(see Code table 4.4),
1235,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.",GRIB2_Template_4_9_ProductDefinitionTemplate_en,68-71,octet,3,(see Notes 3 and 4),
1236,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 46, 58, 70, ...). For all but the innermost (last) time range, the next inner range is then processed using these references and forecast times as the initial reference and forecast times.",GRIB2_Template_4_9_ProductDefinitionTemplate_en,68-71,octet,4,(see Notes 3 and 4),
1237,(see Code table 4.1),GRIB2_Template_4_10_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1238,(see Code table 4.2),GRIB2_Template_4_10_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1239,(see Code table 4.3),GRIB2_Template_4_10_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1240,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_10_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1241,(see Code table 4.4),GRIB2_Template_4_10_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1242,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_10_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1243,(see Code table 4.5),GRIB2_Template_4_10_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1244,(see Code table 4.5),GRIB2_Template_4_10_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1245,(see Code table 4.10),GRIB2_Template_4_10_ProductDefinitionTemplate_en,48,octet,n/a,(see Code table 4.10),
1246,(see Code table 4.11),GRIB2_Template_4_10_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.11),
1247,(see Code table 4.4),GRIB2_Template_4_10_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.4),
1248,(see Code table 4.4),GRIB2_Template_4_10_ProductDefinitionTemplate_en,55,octet,n/a,(see Code table 4.4),
1249,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.",GRIB2_Template_4_10_ProductDefinitionTemplate_en,56-59,octet,3,(see Note 3),
1250,This template was not validated at the time of publication and should be used with caution. Please report any use to the WMO Secretariat (Observing and Information Systems Department) to assist for validation.,GRIB2_Template_4_10_ProductDefinitionTemplate_en,n/a,template,preliminary,n/a,
1251,(see Code table 4.1),GRIB2_Template_4_11_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1252,(see Code table 4.2),GRIB2_Template_4_11_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1253,(see Code table 4.3),GRIB2_Template_4_11_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1254,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_11_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1255,(see Code table 4.4),GRIB2_Template_4_11_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1256,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_11_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1257,(see Code table 4.5),GRIB2_Template_4_11_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1258,(see Code table 4.5),GRIB2_Template_4_11_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1259,(see Code table 4.6),GRIB2_Template_4_11_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.6),
1260,(see Code table 4.10),GRIB2_Template_4_11_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.10),
1261,(see Code table 4.11),GRIB2_Template_4_11_ProductDefinitionTemplate_en,51,octet,n/a,(see Code table 4.11),
1262,(see Code table 4.4),GRIB2_Template_4_11_ProductDefinitionTemplate_en,52,octet,n/a,(see Code table 4.4),
1263,(see Code table 4.4),GRIB2_Template_4_11_ProductDefinitionTemplate_en,57,octet,n/a,(see Code table 4.4),
1264,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.",GRIB2_Template_4_11_ProductDefinitionTemplate_en,58-61,octet,3,(see Notes 3 and 4),
1265,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 51, 63, 75, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.",GRIB2_Template_4_11_ProductDefinitionTemplate_en,58-61,octet,4,(see Notes 3 and 4),
1266,(see Code table 4.1),GRIB2_Template_4_12_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1267,(see Code table 4.2),GRIB2_Template_4_12_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1268,(see Code table 4.3),GRIB2_Template_4_12_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1269,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_12_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1270,(see Code table 4.4),GRIB2_Template_4_12_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1271,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_12_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1272,(see Code table 4.5),GRIB2_Template_4_12_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1273,(see Code table 4.5),GRIB2_Template_4_12_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1274,(see Code table 4.7),GRIB2_Template_4_12_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1275,(see Code table 4.10),GRIB2_Template_4_12_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.10),
1276,(see Code table 4.11),GRIB2_Template_4_12_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.11),
1277,(see Code table 4.4),GRIB2_Template_4_12_ProductDefinitionTemplate_en,51,octet,n/a,(see Code table 4.4),
1278,(see Code table 4.4),GRIB2_Template_4_12_ProductDefinitionTemplate_en,56,octet,n/a,(see Code table 4.4),
1279,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.",GRIB2_Template_4_12_ProductDefinitionTemplate_en,57-60,octet,3,(see Notes 3 and 4),
1280,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 50, 62, 74, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.",GRIB2_Template_4_12_ProductDefinitionTemplate_en,57-60,octet,4,(see Notes 3 and 4),
1281,(see Code table 4.1),GRIB2_Template_4_13_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1282,(see Code table 4.2),GRIB2_Template_4_13_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1283,(see Code table 4.3),GRIB2_Template_4_13_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1284,Hours greater than 65534 will be coded as 65534.,GRIB2_Template_4_13_ProductDefinitionTemplate_en,15-16,octet,1,(see Note 1),
1285,(see Code table 4.4),GRIB2_Template_4_13_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1286,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,GRIB2_Template_4_13_ProductDefinitionTemplate_en,19-22,octet,2,(see Note 2),
1287,(see Code table 4.5),GRIB2_Template_4_13_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
